RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR
2085;1;Medium;3;55;1;5;3;6;2
2255;1;Dark;3;58;2;3;3;3;1
4051;1;Medium;2;49;1;5;3;6;2
4215;1;Dark;1;26;7;3;4;3;1
4129;1;Dark;2;49;4;7;3;6;2
4008;1;Dark;1;31;1;4;4;4;2
4010;1;Dark;1;26;1;6;3;3;1
4096;1;Dark;1;27;4;6;4;3;1
4131;1;Dark;2;43;4;5;4;3;1
4007;1;Medium;3;57;1;5;4;5;3
4003;1;Light;3;56;1;4;3;3;2
4122;1;Dark;1;33;4;6;4;2;2
4089;1;Dark;1;27;4;6;4;3;1
4047;1;Dark;2;40;3;5;2;3;1
4088;1;Dark;1;29;4;7;2;6;1
4085;1;Dark;2;48;4;4;3;3;1
4048;1;Dark;1;26;3;6;3;3;1
4126;1;Dark;2;49;4;4;1;5;3
4044;1;Dark;1;36;3;5;4;3;1
4162;1;Dark;3;56;4;6;3;6;1
4083;1;Medium;3;51;7;4;4;3;2
4161;1;Medium;3;50;4;6;3;3;2
4045;1;Dark;1;36;4;4;4;4;1
4041;1;Medium;1;27;4;6;2;2;2
4095;1;Dark;2;48;4;3;3;6;1
4043;1;Medium;1;29;1;4;4;4;1
4053;1;Dark;2;49;1;7;3;6;3
4052;1;Dark;4;66;4;2;3;6;1
4004;1;Medium;1;25;1;5;3;3;1
2232;1;Dark;4;60;2;2;3;3;4
4216;1;Dark;3;51;2;6;5;2;1
4094;1;Dark;1;26;4;3;3;6;1
4128;1;Medium;2;45;4;5;3;4;2
4092;1;Dark;2;49;4;5;2;1;2
4093;1;Dark;1;28;4;7;5;4;1
4009;1;Dark;1;38;3;5;3;3;1
4050;1;Medium;3;52;1;5;2;6;2
4091;1;Dark;3;58;4;6;2;3;3
4049;1;Dark;3;58;3;2;2;3;2
4042;1;Dark;1;25;3;6;3;3;1
4127;1;Dark;4;65;4;2;3;4;2
4046;1;Medium;1;29;1;7;4;4;1
4124;1;Medium;3;56;3;7;2;4;2
4214;1;Dark;4;64;7;2;4;6;4
4121;1;Light;3;55;7;3;3;3;2
4001;1;Light;1;26;1;7;3;2;1
4081;1;Dark;3;59;7;4;4;4;2
4123;1;Dark;4;63;4;4;3;4;2
4002;1;Light;2;48;1;7;5;5;2
4090;1;Dark;1;32;4;7;3;3;1
4084;1;Dark;2;40;5;7;4;6;1
4097;1;Medium;1;25;4;6;3;3;2
4098;1;Dark;1;38;4;7;3;4;1
4011;1;Dark;2;43;3;6;4;3;1
4099;1;Medium;2;41;4;5;3;4;1
4012;1;Light;3;57;1;3;4;3;1
4006;1;Dark;1;35;1;6;4;4;1
4013;1;Light;2;41;1;5;4;3;1
4100;1;Medium;2;47;4;5;2;3;2
4101;1;Dark;3;54;3;3;3;3;3
2222;1;Medium;3;59;2;4;3;3;1
2077;1;Medium;4;60;1;3;3;6;1
2083;1;Light;4;66;1;3;3;3;5
2082;1;Dark;4;60;1;7;2;3;2
2084;1;Light;3;59;1;5;3;6;2
2088;1;Medium;2;43;1;6;3;3;1
2189;1;Dark;1;26;4;6;4;3;1
2139;1;Medium;2;49;4;6;3;3;5
2223;1;Medium;1;39;2;6;2;4;1
2142;1;Dark;2;43;4;5;3;6;1
2217;1;Dark;3;55;2;2;4;3;3
2233;1;Dark;3;59;2;3;3;3;3
2089;1;Medium;3;55;1;5;1;2;3
2148;1;Dark;2;45;4;5;3;6;2
2154;1;Dark;1;31;4;6;3;6;1
2143;1;Dark;2;43;4;4;2;3;2
2224;1;Dark;4;60;2;2;2;4;4
2159;1;Medium;2;46;4;4;1;2;1
4132;1;Dark;2;47;1;6;3;2;1
2155;1;Medium;3;59;4;3;1;3;4
2152;1;Medium;1;25;4;6;3;3;2
4015;1;Dark;1;33;1;6;3;3;1
4102;1;Dark;3;52;4;5;3;3;1
4103;1;Dark;1;34;4;5;3;3;1
2190;1;Dark;2;48;5;5;3;3;1
2187;1;Dark;1;27;4;6;3;3;1
2188;1;Medium;3;59;4;5;2;3;3
2117;1;Medium;1;25;1;5;3;3;1
4054;1;Medium;1;33;4;6;2;6;1
4163;1;Dark;2;44;3;5;2;2;2
4016;1;Dark;4;67;3;4;3;6;2
2192;1;Dark;2;42;4;4;4;4;2
2042;1;Light;4;62;1;3;3;3;6
2041;1;Dark;3;54;1;2;2;3;4
2098;1;Medium;3;53;1;4;1;2;4
2044;1;Light;3;55;1;4;4;4;3
2007;1;Dark;2;42;1;5;1;3;1
2043;1;Dark;2;46;1;5;5;2;5
2012;1;Medium;4;61;1;2;1;2;2
2094;1;Dark;1;37;1;5;3;4;2
2220;1;Dark;1;34;2;5;4;4;2
2219;1;Dark;3;54;2;5;4;3;2
2021;1;Medium;3;56;1;6;3;3;2
2092;1;Medium;3;57;1;4;2;2;2
2179;1;Dark;1;28;4;3;3;3;1
2040;1;Dark;3;50;1;3;2;3;4
2081;1;Dark;1;37;1;6;3;6;3
2008;1;Medium;1;35;1;6;3;3;1
2017;1;Dark;3;59;5;5;3;3;1
2216;1;Medium;4;61;2;3;5;3;5
2253;1;Medium;3;59;2;4;3;4;4
2221;1;Dark;2;48;2;2;4;3;1
2045;1;Medium;3;59;1;4;4;4;5
2004;1;Medium;2;49;1;4;3;6;2
2020;1;Medium;3;52;1;3;4;5;3
2018;1;Dark;1;34;1;5;4;3;4
2254;1;Light;3;59;2;4;2;3;2
2191;1;Dark;1;27;2;5;4;4;1
2078;1;Dark;1;39;1;6;1;4;5
2225;1;Dark;4;67;2;2;3;3;1
2160;1;Dark;3;59;4;4;3;6;2
2002;1;Medium;1;30;1;5;3;3;1
2006;1;Dark;2;41;1;7;4;3;1
2150;1;Dark;3;55;4;6;3;3;1
2022;1;Medium;2;49;1;4;3;6;3
2075;1;Dark;2;45;3;5;2;3;2
2175;1;Dark;1;37;4;6;3;3;1
2252;1;Dark;4;62;2;2;3;3;1
2076;1;Light;4;68;1;6;4;4;2
2113;1;Medium;3;59;1;5;1;1;2
2193;1;Medium;3;50;4;6;1;3;2
2229;1;Dark;1;36;2;7;4;4;1
2047;1;Dark;1;32;1;3;2;4;2
2046;1;Dark;4;66;1;5;4;5;3
2003;1;Dark;1;36;1;3;5;4;2
2116;1;Light;4;65;1;4;2;3;3
2091;1;Light;3;58;1;7;3;3;2
2048;1;Dark;1;38;4;6;3;3;1
2137;1;Dark;2;44;4;4;3;6;2
2144;1;Dark;4;67;4;4;3;3;1
2039;1;Medium;1;25;1;6;4;4;1
2073;1;Dark;2;43;4;5;4;6;3
2074;1;Dark;2;42;4;6;2;3;2
2226;1;Dark;3;58;2;2;4;3;2
2251;1;Dark;3;54;2;2;2;3;1
2103;1;Light;1;37;1;6;3;3;1
2072;1;Medium;4;69;1;4;2;4;3
2257;1;Dark;1;36;2;2;4;4;2
2256;1;Dark;2;49;2;2;3;3;5
2182;1;Dark;1;25;2;5;3;4;3
2049;1;Light;2;48;1;4;3;2;1
2231;1;Dark;4;68;2;2;3;3;1
2258;1;Dark;1;31;2;3;4;6;1
2051;1;Medium;4;63;1;3;3;6;5
2005;1;Dark;4;68;1;5;2;4;5
2105;1;Medium;4;68;1;5;3;6;2
2110;1;Medium;1;35;1;5;4;3;1
2009;1;Dark;3;53;1;6;4;3;2
2010;1;Dark;2;48;1;3;4;3;3
2259;1;Dark;4;67;2;3;3;4;2
2170;1;Medium;4;69;4;6;3;3;5
2097;1;Dark;1;36;1;6;3;3;1
2052;1;Dark;3;50;4;6;4;6;2
2236;1;Dark;3;51;2;4;4;4;1
2053;1;Dark;1;25;4;6;3;6;1
2161;1;Dark;1;37;4;7;4;6;3
4164;1;Dark;1;35;4;5;4;4;1
4104;1;Dark;1;29;4;5;4;2;1
4055;1;Dark;2;41;3;5;3;6;1
4105;1;Dark;2;42;4;7;4;5;1
4134;1;Dark;3;59;5;5;4;5;2
4217;1;Dark;1;38;2;2;4;2;1
4057;1;Light;3;57;7;6;3;5;2
4135;1;Dark;1;30;7;5;3;6;1
4058;1;Dark;4;61;1;5;2;4;1
4108;1;Dark;1;26;4;6;3;3;1
4017;1;Light;2;45;1;7;4;3;2
4107;1;Dark;2;43;4;7;4;3;2
4018;1;Dark;3;55;3;3;3;6;1
4059;1;Medium;4;68;1;4;3;3;3
2119;1;Dark;3;57;1;5;3;3;3
2011;1;Light;3;53;1;5;3;3;4
2234;1;Dark;4;68;2;3;1;3;3
2050;1;Dark;1;34;4;5;2;6;1
2054;1;Light;1;36;1;6;3;2;5
2055;1;Medium;4;61;1;5;3;2;5
2260;1;Dark;4;63;2;4;5;3;2
2261;1;Medium;3;53;2;2;3;4;1
1055;1;Medium;4;60;1;5;3;3;2
1054;1;Dark;1;25;1;6;3;3;1
2262;1;Dark;1;31;2;4;5;5;3
2056;1;Dark;3;51;1;4;3;3;2
2100;1;Medium;2;44;1;5;2;3;2
2265;1;Dark;4;69;2;2;2;4;2
4138;1;Dark;2;49;4;7;4;3;3
4019;1;Dark;2;45;3;6;3;3;1
4109;1;Dark;3;58;3;5;3;3;2
2264;1;Dark;4;66;2;3;3;3;2
2013;1;Light;3;52;1;2;3;4;5
2014;1;Dark;1;25;1;5;4;6;1
2263;1;Medium;1;29;2;7;3;3;1
4219;1;Dark;2;42;2;3;3;6;1
4218;1;Dark;4;69;2;2;4;3;2
4110;1;Medium;3;55;4;5;3;3;2
1103;1;Dark;4;62;1;5;2;3;3
1051;1;Dark;3;53;1;7;3;3;2
1111;1;Dark;2;48;1;5;2;3;3
2071;1;Dark;2;42;1;4;2;3;1
2266;1;Dark;2;42;2;3;4;4;2
1123;1;Dark;3;52;1;6;4;3;2
1010;1;Dark;3;50;1;6;3;3;3
2171;1;Dark;1;39;4;2;3;3;2
1073;1;Dark;4;68;1;5;3;3;4
1128;1;Medium;3;56;1;5;3;4;5
4020;1;Medium;3;56;1;7;3;3;2
1092;1;Dark;2;43;1;6;4;6;2
2194;1;Dark;2;44;4;3;2;3;2
4021;1;Light;1;25;1;6;4;4;1
1088;1;Medium;2;46;1;2;4;3;3
2016;1;Dark;1;31;1;7;1;2;1
1127;1;Dark;2;46;1;5;2;2;3
2019;1;Medium;2;48;1;6;2;3;1
2015;1;Medium;2;47;1;4;3;2;5
4060;1;Dark;2;47;4;7;3;6;1
2023;1;Dark;2;42;1;6;2;2;1
4022;1;Medium;1;36;1;6;3;3;2
4061;1;Medium;3;50;3;3;3;3;2
4062;1;Dark;1;32;4;6;3;3;1
4115;1;Dark;4;60;4;6;2;4;2
1064;1;Medium;3;58;1;4;4;3;2
1098;1;Light;2;48;1;2;2;3;1
1070;1;Medium;4;62;1;5;4;3;2
2024;1;Medium;4;66;1;2;3;3;1
1104;1;Dark;4;60;1;5;3;3;2
1005;1;Light;2;49;1;3;3;3;3
2267;1;Dark;4;60;2;3;3;3;2
1062;1;Light;4;67;1;4;2;3;2
1096;1;Medium;4;64;1;7;3;3;3
2025;1;Light;4;60;1;4;3;3;2
1089;1;Dark;3;54;1;4;2;6;3
2026;1;Light;1;29;1;5;2;3;2
1097;1;Medium;2;42;1;6;2;6;2
2214;1;Dark;2;44;2;3;2;3;1
1115;1;Medium;1;29;1;6;4;3;2
2213;1;Dark;2;46;2;4;4;3;1
2058;1;Medium;2;46;1;3;4;4;2
1050;1;Medium;2;49;1;6;2;6;3
2059;1;Dark;1;39;1;5;2;4;2
2212;1;Light;2;41;2;7;3;3;1
2028;1;Medium;3;53;1;4;4;4;2
2135;1;Light;4;62;1;4;1;6;2
1087;1;Dark;3;53;3;5;2;3;3
1125;1;Dark;3;53;1;4;4;3;3
1094;1;Dark;3;51;1;7;5;3;3
1067;1;Light;2;41;1;4;5;3;5
1014;1;Medium;1;37;1;7;2;3;2
2138;1;Dark;1;35;2;4;5;4;2
1132;1;Dark;2;45;1;5;2;3;1
2029;1;Dark;1;33;1;7;4;6;1
1057;1;Medium;3;50;1;5;2;3;2
2196;1;Dark;1;31;3;4;3;2;1
1013;1;Medium;3;56;1;6;4;4;2
2030;1;Medium;1;31;1;7;3;3;1
2211;1;Dark;4;60;2;3;3;3;3
1003;1;Light;3;50;1;5;3;3;2
1084;1;Dark;3;50;1;5;4;3;3
1082;1;Dark;1;25;1;6;3;3;1
2031;1;Light;2;40;1;6;2;3;1
4023;1;Medium;1;36;1;7;3;3;1
2197;1;Dark;2;47;2;5;4;3;1
2032;1;Medium;2;43;1;4;4;3;2
4116;1;Dark;1;25;5;7;4;6;1
1059;1;Dark;2;48;1;5;3;3;3
1053;1;Dark;1;37;1;6;3;4;2
2198;1;Dark;1;32;2;3;5;3;1
2243;1;Dark;3;51;2;3;3;4;3
2210;1;Dark;1;29;2;4;5;5;1
4070;1;Dark;1;29;4;4;3;6;1
4069;1;Light;2;48;4;7;3;6;1
4141;1;Dark;1;29;4;7;3;3;1
4024;1;Dark;1;25;3;6;3;3;1
4025;1;Light;1;29;1;6;3;4;1
4026;1;Light;2;47;1;4;3;6;1
4073;1;Dark;1;30;4;5;3;3;1
1121;1;Medium;2;46;1;5;2;3;3
1116;1;Light;2;43;1;6;4;4;3
1075;1;Medium;3;51;1;6;3;3;3
1105;1;Light;3;54;1;4;2;3;2
1009;1;Medium;3;50;1;6;3;3;1
1043;1;Dark;3;50;1;5;3;4;3
2057;1;Light;3;54;1;5;3;6;2
1035;1;Light;4;63;1;4;4;3;2
1068;1;Medium;4;62;1;4;3;3;2
1069;1;Dark;3;53;1;5;2;3;5
1066;1;Light;4;64;1;4;4;3;3
2200;1;Dark;1;25;2;3;4;3;1
2201;1;Dark;1;32;2;3;2;6;2
1008;1;Medium;4;60;1;6;4;4;2
1047;1;Medium;2;43;1;4;3;3;2
1061;1;Light;3;58;1;5;4;4;3
1071;1;Dark;1;35;1;7;4;6;2
1122;1;Medium;4;62;1;4;2;3;2
1030;1;Light;2;47;1;4;4;4;4
1016;1;Medium;3;53;1;4;4;4;5
1056;1;Medium;4;65;1;4;2;3;2
1130;1;Dark;4;66;1;4;4;3;5
1133;1;Medium;3;53;1;6;5;3;4
1063;1;Medium;2;46;1;5;3;3;1
1001;1;Dark;1;29;1;5;3;4;1
2060;1;Dark;1;36;1;5;3;3;2
1017;1;Dark;2;47;1;5;5;3;1
1018;1;Medium;1;28;1;6;2;2;1
2061;1;Medium;4;69;1;2;3;3;3
2227;1;Dark;1;37;2;6;3;4;1
2062;1;Dark;1;26;1;7;3;3;1
2195;1;Medium;3;59;2;3;3;3;3
2063;1;Dark;1;25;1;6;3;3;1
2184;1;Medium;4;65;2;2;3;3;2
2204;1;Medium;4;68;2;3;2;3;2
2202;1;Dark;1;25;4;4;2;3;1
2033;1;Dark;2;42;1;5;1;3;2
2203;1;Dark;1;39;4;6;1;6;2
2034;1;Dark;4;68;1;4;4;3;1
2065;1;Dark;3;52;1;5;3;6;1
2066;1;Light;4;66;1;7;2;3;1
2064;1;Dark;1;27;1;5;2;2;2
2068;1;Dark;1;27;1;7;4;6;1
2067;1;Medium;1;38;1;5;3;3;2
2206;1;Dark;2;40;2;3;2;3;2
2207;1;Dark;4;60;2;4;3;4;1
2208;1;Dark;3;52;2;4;3;4;2
1085;1;Dark;3;53;1;5;4;3;2
1093;1;Light;3;58;1;6;4;4;3
1076;1;Light;3;56;1;5;4;3;2
1052;1;Dark;1;39;1;6;4;4;5
1022;1;Dark;1;25;1;7;4;3;2
1078;1;Dark;3;54;1;4;3;4;3
1100;1;Medium;3;59;1;5;2;3;3
1126;1;Medium;2;42;1;7;3;3;2
1049;1;Medium;4;61;1;4;3;3;2
1146;1;Light;3;53;1;6;2;3;2
1099;1;Medium;4;68;1;4;3;3;2
1080;1;Dark;1;34;1;6;4;3;3
1026;1;Dark;2;47;1;7;3;3;2
1021;1;Dark;3;58;1;5;5;3;4
1072;1;Dark;3;57;1;5;4;3;2
1129;1;Medium;4;60;1;6;3;4;4
1065;1;Dark;2;47;1;5;3;3;3
1077;1;Dark;3;57;1;5;4;4;3
1048;1;Medium;1;37;1;6;4;3;2
1024;1;Medium;2;46;1;6;3;3;2
1027;1;Medium;3;50;1;4;3;3;3
1135;1;Dark;2;41;1;7;3;3;1
1006;1;Dark;2;49;1;5;4;3;2
1112;1;Dark;2;40;1;6;3;3;3
2035;1;Dark;1;25;1;7;4;2;1
2036;1;Dark;2;49;1;6;3;6;3
2038;1;Medium;2;41;1;7;5;3;2
2037;1;Dark;4;66;1;4;4;3;5
2087;1;Light;2;40;1;5;4;3;1
2209;1;Dark;3;54;2;3;4;3;2
2248;1;Dark;2;45;2;2;1;3;1
2244;1;Dark;2;47;2;5;1;3;2
2070;1;Dark;2;46;4;5;3;3;1
2237;1;Dark;4;69;2;3;2;4;3
2157;1;Dark;3;50;1;4;3;3;1
2156;1;Medium;1;25;4;5;3;3;1
2245;1;Dark;4;64;2;4;3;4;3
2151;1;Dark;4;63;4;2;3;3;1
2240;1;Dark;1;33;2;4;5;6;1
2027;1;Dark;2;49;1;2;4;6;2
2250;1;Dark;1;31;2;3;4;6;2
2086;1;Light;2;41;1;4;3;4;3
2080;1;Dark;2;41;1;4;2;6;3
4144;1;Dark;2;46;3;5;3;2;1
4118;1;Medium;1;26;4;6;3;6;1
2079;1;Dark;1;26;1;7;2;3;1
4077;1;Medium;1;28;1;6;3;6;1
4027;1;Dark;1;29;3;5;3;6;1
4143;1;Dark;3;53;4;6;4;6;1
4142;1;Light;3;56;4;6;5;4;2
2101;1;Medium;1;26;1;5;3;4;1
2090;1;Medium;2;44;1;5;3;2;3
2107;1;Dark;3;56;1;3;2;3;2
2166;1;Dark;1;25;3;5;4;3;1
2122;1;Medium;3;50;1;5;3;6;2
2069;1;Light;1;37;1;5;3;3;1
2136;1;Dark;2;44;4;6;3;6;1
2145;1;Dark;3;54;1;5;4;4;4
2147;1;Dark;2;47;4;6;3;6;2
2168;1;Medium;2;45;4;7;1;1;2
2158;1;Medium;1;25;4;6;3;3;1
2215;1;Dark;1;33;2;2;3;3;2
2169;1;Dark;2;45;4;5;3;4;5
2123;1;Dark;2;44;1;4;5;4;1
2099;1;Dark;1;26;4;6;2;2;2
2102;1;Dark;1;25;4;6;3;3;1
2235;1;Dark;3;56;2;4;4;4;2
2095;1;Light;2;40;1;6;3;3;1
2096;1;Dark;2;46;1;5;1;3;2
2128;1;Dark;1;27;4;5;3;6;1
4078;1;Dark;1;33;4;5;3;3;1
2106;1;Light;4;67;1;4;3;3;1
4165;1;Dark;4;63;4;4;3;6;1
2114;1;Light;3;59;1;3;1;3;2
2108;1;Light;2;40;1;7;3;3;1
2111;1;Light;4;66;1;2;3;3;1
2112;1;Medium;2;47;4;5;3;3;1
2093;1;Dark;1;32;1;5;3;3;1
2121;1;Dark;1;26;4;6;5;2;1
2120;1;Dark;3;53;4;4;2;3;2
2140;1;Dark;1;26;4;7;3;3;1
2118;1;Medium;4;66;1;3;2;5;4
2129;1;Medium;1;31;1;7;4;3;1
2149;1;Dark;3;50;1;5;3;3;3
2218;1;Medium;4;65;2;4;3;3;3
2246;1;Dark;3;58;2;3;4;4;2
2199;1;Dark;4;69;2;2;2;4;2
2238;1;Dark;4;62;2;3;2;3;3
2173;1;Dark;1;37;2;4;4;3;2
2115;1;Medium;4;69;1;4;4;3;3
2125;1;Light;1;29;1;5;4;2;1
2126;1;Medium;1;25;1;5;2;2;1
2146;1;Dark;3;57;4;6;3;3;2
2230;1;Dark;1;26;2;5;3;3;1
2249;1;Dark;2;43;2;6;3;4;1
2133;1;Light;2;41;1;5;2;3;2
2172;1;Light;1;27;4;5;2;6;1
2174;1;Dark;3;52;4;6;3;3;2
