RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR;filename;eval_cluster;single_cluster;Image_SkinCluster
2085;1;Medium;3;55;1;5;3;6;2;208503_81.jpg;1;VRAI;1
2255;1;Dark;3;58;2;3;3;3;1;225503_81.jpg;5;FAUX;5
4051;1;Medium;2;49;1;5;3;6;2;405103_81.jpg;3;FAUX;1
4215;1;Dark;1;26;7;3;4;3;1;421503_81.jpg;5;VRAI;5
4129;1;Dark;2;49;4;7;3;6;2;412903_81.jpg;3;VRAI;3
4008;1;Dark;1;31;1;4;4;4;2;400803_81.jpg;2;VRAI;2
4010;1;Dark;1;26;1;6;3;3;1;401003_81.jpg;1;FAUX;1
4096;1;Dark;1;27;4;6;4;3;1;409603_81.jpg;2;FAUX;1
4131;1;Dark;2;43;4;5;4;3;1;413103_81.jpg;3;FAUX;3
4007;1;Medium;3;57;1;5;4;5;3;400703_81.jpg;2;VRAI;2
4003;1;Light;3;56;1;4;3;3;2;400303_81.jpg;2;VRAI;1
4122;1;Dark;1;33;4;6;4;2;2;412203_81.jpg;3;VRAI;1
4089;1;Dark;1;27;4;6;4;3;1;408903_81.jpg;2;FAUX;1
4047;1;Dark;2;40;3;5;2;3;1;404703_81.jpg;1;VRAI;1
4088;1;Dark;1;29;4;7;2;6;1;408803_81.jpg;1;FAUX;1
4085;1;Dark;2;48;4;4;3;3;1;408503_81.jpg;3;VRAI;1
4048;1;Dark;1;26;3;6;3;3;1;404803_81.jpg;3;FAUX;1
4126;1;Dark;2;49;4;4;1;5;3;412603_81.jpg;3;FAUX;3
4044;1;Dark;1;36;3;5;4;3;1;404403_81.jpg;2;VRAI;1
4162;1;Dark;3;56;4;6;3;6;1;416203_81.jpg;4;FAUX;2
4083;1;Medium;3;51;7;4;4;3;2;408303_81.jpg;3;FAUX;1
4161;1;Medium;3;50;4;6;3;3;2;416103_81.jpg;4;FAUX;3
4045;1;Dark;1;36;4;4;4;4;1;404503_81.jpg;3;FAUX;1
4041;1;Medium;1;27;4;6;2;2;2;404103_81.jpg;2;FAUX;1
4095;1;Dark;2;48;4;3;3;6;1;409503_81.jpg;3;VRAI;1
4043;1;Medium;1;29;1;4;4;4;1;404303_81.jpg;1;VRAI;1
4053;1;Dark;2;49;1;7;3;6;3;405303_81.jpg;3;FAUX;3
4052;1;Dark;4;66;4;2;3;6;1;405203_81.jpg;2;VRAI;1
4004;1;Medium;1;25;1;5;3;3;1;400403_81.jpg;1;FAUX;1
2232;1;Dark;4;60;2;2;3;3;4;223203_81.jpg;5;VRAI;5
4216;1;Dark;3;51;2;6;5;2;1;421603_81.jpg;6;FAUX;5
4094;1;Dark;1;26;4;3;3;6;1;409403_81.jpg;3;FAUX;1
4128;1;Medium;2;45;4;5;3;4;2;412803_81.jpg;4;VRAI;2
4092;1;Dark;2;49;4;5;2;1;2;409203_81.jpg;3;FAUX;1
4093;1;Dark;1;28;4;7;5;4;1;409303_81.jpg;3;VRAI;3
4009;1;Dark;1;38;3;5;3;3;1;400903_81.jpg;1;FAUX;1
4050;1;Medium;3;52;1;5;2;6;2;405003_81.jpg;1;VRAI;1
4091;1;Dark;3;58;4;6;2;3;3;409103_81.jpg;3;FAUX;1
4049;1;Dark;3;58;3;2;2;3;2;404903_81.jpg;2;VRAI;1
4042;1;Dark;1;25;3;6;3;3;1;404203_81.jpg;2;VRAI;1
4127;1;Dark;4;65;4;2;3;4;2;412703_81.jpg;3;FAUX;1
4046;1;Medium;1;29;1;7;4;4;1;404603_81.jpg;2;FAUX;1
4124;1;Medium;3;56;3;7;2;4;2;412403_81.jpg;2;FAUX;3
4214;1;Dark;4;64;7;2;4;6;4;421403_81.jpg;5;VRAI;4
4121;1;Light;3;55;7;3;3;3;2;412103_81.jpg;3;FAUX;1
4001;1;Light;1;26;1;7;3;2;1;400103_81.jpg;1;VRAI;1
4081;1;Dark;3;59;7;4;4;4;2;408103_81.jpg;3;VRAI;3
4123;1;Dark;4;63;4;4;3;4;2;412303_81.jpg;3;FAUX;3
4002;1;Light;2;48;1;7;5;5;2;400203_81.jpg;3;FAUX;3
4090;1;Dark;1;32;4;7;3;3;1;409003_81.jpg;4;VRAI;2
4084;1;Dark;2;40;5;7;4;6;1;408403_81.jpg;4;FAUX;3
4097;1;Medium;1;25;4;6;3;3;2;409703_81.jpg;2;FAUX;1
4098;1;Dark;1;38;4;7;3;4;1;409803_81.jpg;3;FAUX;3
4011;1;Dark;2;43;3;6;4;3;1;401103_81.jpg;1;VRAI;1
4099;1;Medium;2;41;4;5;3;4;1;409903_81.jpg;3;FAUX;1
4012;1;Light;3;57;1;3;4;3;1;401203_81.jpg;2;VRAI;1
4006;1;Dark;1;35;1;6;4;4;1;400603_81.jpg;2;VRAI;1
4013;1;Light;2;41;1;5;4;3;1;401303_81.jpg;2;FAUX;2
4100;1;Medium;2;47;4;5;2;3;2;410003_81.jpg;4;FAUX;2
4101;1;Dark;3;54;3;3;3;3;3;410103_81.jpg;3;FAUX;3
2222;1;Medium;3;59;2;4;3;3;1;222203_81.jpg;6;VRAI;5
2077;1;Medium;4;60;1;3;3;6;1;207703_81.jpg;1;VRAI;1
2083;1;Light;4;66;1;3;3;3;5;208303_81.jpg;2;FAUX;1
2082;1;Dark;4;60;1;7;2;3;2;208203_81.jpg;2;VRAI;1
2084;1;Light;3;59;1;5;3;6;2;208403_81.jpg;1;VRAI;1
2088;1;Medium;2;43;1;6;3;3;1;208803_81.jpg;4;FAUX;3
2189;1;Dark;1;26;4;6;4;3;1;218903_81.jpg;2;FAUX;1
2139;1;Medium;2;49;4;6;3;3;5;213903_81.jpg;4;FAUX;3
2223;1;Medium;1;39;2;6;2;4;1;222303_81.jpg;5;VRAI;4
2142;1;Dark;2;43;4;5;3;6;1;214203_81.jpg;4;FAUX;4
2217;1;Dark;3;55;2;2;4;3;3;221703_81.jpg;5;FAUX;5
2233;1;Dark;3;59;2;3;3;3;3;223303_81.jpg;6;VRAI;5
2089;1;Medium;3;55;1;5;1;2;3;208903_81.jpg;3;FAUX;2
2148;1;Dark;2;45;4;5;3;6;2;214803_81.jpg;4;VRAI;4
2154;1;Dark;1;31;4;6;3;6;1;215403_81.jpg;2;VRAI;1
2143;1;Dark;2;43;4;4;2;3;2;214303_81.jpg;2;FAUX;3
2224;1;Dark;4;60;2;2;2;4;4;222403_81.jpg;4;VRAI;4
2159;1;Medium;2;46;4;4;1;2;1;215903_81.jpg;3;FAUX;3
4132;1;Dark;2;47;1;6;3;2;1;413203_81.jpg;4;FAUX;3
2155;1;Medium;3;59;4;3;1;3;4;215503_81.jpg;3;FAUX;3
2152;1;Medium;1;25;4;6;3;3;2;215203_81.jpg;4;FAUX;2
4015;1;Dark;1;33;1;6;3;3;1;401503_81.jpg;1;VRAI;1
4102;1;Dark;3;52;4;5;3;3;1;410203_81.jpg;2;FAUX;2
4103;1;Dark;1;34;4;5;3;3;1;410303_81.jpg;3;VRAI;3
2190;1;Dark;2;48;5;5;3;3;1;219003_81.jpg;4;VRAI;3
2187;1;Dark;1;27;4;6;3;3;1;218703_81.jpg;4;FAUX;4
2188;1;Medium;3;59;4;5;2;3;3;218803_81.jpg;3;FAUX;1
2117;1;Medium;1;25;1;5;3;3;1;211703_81.jpg;1;VRAI;1
4054;1;Medium;1;33;4;6;2;6;1;405403_81.jpg;2;VRAI;1
4163;1;Dark;2;44;3;5;2;2;2;416303_81.jpg;4;VRAI;4
4016;1;Dark;4;67;3;4;3;6;2;401603_81.jpg;1;FAUX;1
2192;1;Dark;2;42;4;4;4;4;2;219203_81.jpg;4;FAUX;3
2042;1;Light;4;62;1;3;3;3;6;204203_81.jpg;3;FAUX;1
2041;1;Dark;3;54;1;2;2;3;4;204103_81.jpg;1;FAUX;1
2098;1;Medium;3;53;1;4;1;2;4;209803_81.jpg;2;VRAI;2
2044;1;Light;3;55;1;4;4;4;3;204403_81.jpg;1;FAUX;1
2007;1;Dark;2;42;1;5;1;3;1;200703_81.jpg;3;FAUX;3
2043;1;Dark;2;46;1;5;5;2;5;204303_81.jpg;2;FAUX;3
2012;1;Medium;4;61;1;2;1;2;2;201203_81.jpg;2;VRAI;1
2094;1;Dark;1;37;1;5;3;4;2;209403_81.jpg;3;FAUX;3
2220;1;Dark;1;34;2;5;4;4;2;222003_81.jpg;3;FAUX;3
2219;1;Dark;3;54;2;5;4;3;2;221903_81.jpg;5;VRAI;4
2021;1;Medium;3;56;1;6;3;3;2;202103_81.jpg;3;FAUX;3
2092;1;Medium;3;57;1;4;2;2;2;209203_81.jpg;4;VRAI;4
2179;1;Dark;1;28;4;3;3;3;1;217903_81.jpg;3;FAUX;3
2040;1;Dark;3;50;1;3;2;3;4;204003_81.jpg;2;FAUX;2
2081;1;Dark;1;37;1;6;3;6;3;208103_81.jpg;2;VRAI;2
2008;1;Medium;1;35;1;6;3;3;1;200803_81.jpg;2;FAUX;3
2017;1;Dark;3;59;5;5;3;3;1;201703_81.jpg;3;VRAI;3
2216;1;Medium;4;61;2;3;5;3;5;221603_81.jpg;6;VRAI;6
2253;1;Medium;3;59;2;4;3;4;4;225303_81.jpg;5;FAUX;5
2221;1;Dark;2;48;2;2;4;3;1;222103_81.jpg;6;VRAI;5
2045;1;Medium;3;59;1;4;4;4;5;204503_81.jpg;1;VRAI;1
2004;1;Medium;2;49;1;4;3;6;2;200403_81.jpg;2;VRAI;3
2020;1;Medium;3;52;1;3;4;5;3;202003_81.jpg;3;FAUX;1
2018;1;Dark;1;34;1;5;4;3;4;201803_81.jpg;3;FAUX;1
2254;1;Light;3;59;2;4;2;3;2;225403_81.jpg;5;VRAI;5
2191;1;Dark;1;27;2;5;4;4;1;219103_81.jpg;4;VRAI;4
2078;1;Dark;1;39;1;6;1;4;5;207803_81.jpg;4;FAUX;3
2225;1;Dark;4;67;2;2;3;3;1;222503_81.jpg;6;VRAI;6
2160;1;Dark;3;59;4;4;3;6;2;216003_81.jpg;4;VRAI;4
2002;1;Medium;1;30;1;5;3;3;1;200203_81.jpg;2;FAUX;1
2006;1;Dark;2;41;1;7;4;3;1;200603_81.jpg;2;VRAI;2
2150;1;Dark;3;55;4;6;3;3;1;215003_81.jpg;3;FAUX;3
2022;1;Medium;2;49;1;4;3;6;3;202203_81.jpg;2;FAUX;1
2075;1;Dark;2;45;3;5;2;3;2;207503_81.jpg;4;VRAI;2
2175;1;Dark;1;37;4;6;3;3;1;217503_81.jpg;1;FAUX;1
2252;1;Dark;4;62;2;2;3;3;1;225203_81.jpg;5;VRAI;4
2076;1;Light;4;68;1;6;4;4;2;207603_81.jpg;2;FAUX;3
2113;1;Medium;3;59;1;5;1;1;2;211303_81.jpg;3;FAUX;1
2193;1;Medium;3;50;4;6;1;3;2;219303_81.jpg;5;VRAI;4
2229;1;Dark;1;36;2;7;4;4;1;222903_81.jpg;6;VRAI;6
2047;1;Dark;1;32;1;3;2;4;2;204703_81.jpg;4;FAUX;3
2046;1;Dark;4;66;1;5;4;5;3;204603_81.jpg;4;FAUX;4
2003;1;Dark;1;36;1;3;5;4;2;200303_81.jpg;1;VRAI;1
2116;1;Light;4;65;1;4;2;3;3;211603_81.jpg;2;FAUX;2
2091;1;Light;3;58;1;7;3;3;2;209103_81.jpg;2;VRAI;1
2048;1;Dark;1;38;4;6;3;3;1;204803_81.jpg;4;FAUX;3
2137;1;Dark;2;44;4;4;3;6;2;213703_81.jpg;4;FAUX;2
2144;1;Dark;4;67;4;4;3;3;1;214403_81.jpg;2;VRAI;2
2039;1;Medium;1;25;1;6;4;4;1;203903_81.jpg;2;FAUX;2
2073;1;Dark;2;43;4;5;4;6;3;207303_81.jpg;4;VRAI;2
2074;1;Dark;2;42;4;6;2;3;2;207403_81.jpg;3;VRAI;3
2226;1;Dark;3;58;2;2;4;3;2;222603_81.jpg;6;VRAI;5
2251;1;Dark;3;54;2;2;2;3;1;225103_81.jpg;5;VRAI;5
2103;1;Light;1;37;1;6;3;3;1;210303_81.jpg;2;VRAI;2
2072;1;Medium;4;69;1;4;2;4;3;207203_81.jpg;1;VRAI;1
2257;1;Dark;1;36;2;2;4;4;2;225703_81.jpg;6;VRAI;5
2256;1;Dark;2;49;2;2;3;3;5;225603_81.jpg;6;VRAI;5
2182;1;Dark;1;25;2;5;3;4;3;218203_81.jpg;5;FAUX;5
2049;1;Light;2;48;1;4;3;2;1;204903_81.jpg;2;FAUX;2
2231;1;Dark;4;68;2;2;3;3;1;223103_81.jpg;6;VRAI;6
2258;1;Dark;1;31;2;3;4;6;1;225803_81.jpg;5;VRAI;5
2051;1;Medium;4;63;1;3;3;6;5;205103_81.jpg;3;FAUX;1
2005;1;Dark;4;68;1;5;2;4;5;200503_81.jpg;3;VRAI;1
2105;1;Medium;4;68;1;5;3;6;2;210503_81.jpg;2;FAUX;2
2110;1;Medium;1;35;1;5;4;3;1;211003_81.jpg;3;FAUX;3
2009;1;Dark;3;53;1;6;4;3;2;200903_81.jpg;2;VRAI;2
2010;1;Dark;2;48;1;3;4;3;3;201003_81.jpg;4;VRAI;2
2259;1;Dark;4;67;2;3;3;4;2;225903_81.jpg;6;VRAI;6
2170;1;Medium;4;69;4;6;3;3;5;217003_81.jpg;3;FAUX;3
2097;1;Dark;1;36;1;6;3;3;1;209703_81.jpg;2;FAUX;2
2052;1;Dark;3;50;4;6;4;6;2;205203_81.jpg;4;FAUX;3
2236;1;Dark;3;51;2;4;4;4;1;223603_81.jpg;5;VRAI;4
2053;1;Dark;1;25;4;6;3;6;1;205303_81.jpg;4;FAUX;4
2161;1;Dark;1;37;4;7;4;6;3;216103_81.jpg;4;VRAI;4
4164;1;Dark;1;35;4;5;4;4;1;416403_81.jpg;3;FAUX;3
4104;1;Dark;1;29;4;5;4;2;1;410403_81.jpg;3;VRAI;1
4055;1;Dark;2;41;3;5;3;6;1;405503_81.jpg;2;FAUX;1
4105;1;Dark;2;42;4;7;4;5;1;410503_81.jpg;3;FAUX;1
4134;1;Dark;3;59;5;5;4;5;2;413403_81.jpg;4;FAUX;3
4217;1;Dark;1;38;2;2;4;2;1;421703_81.jpg;6;VRAI;5
4057;1;Light;3;57;7;6;3;5;2;405703_81.jpg;3;FAUX;1
4135;1;Dark;1;30;7;5;3;6;1;413503_81.jpg;2;FAUX;3
4058;1;Dark;4;61;1;5;2;4;1;405803_81.jpg;3;FAUX;1
4108;1;Dark;1;26;4;6;3;3;1;410803_81.jpg;2;FAUX;1
4017;1;Light;2;45;1;7;4;3;2;401703_81.jpg;1;FAUX;1
4107;1;Dark;2;43;4;7;4;3;2;410703_81.jpg;3;FAUX;3
4018;1;Dark;3;55;3;3;3;6;1;401803_81.jpg;1;VRAI;1
4059;1;Medium;4;68;1;4;3;3;3;405903_81.jpg;2;FAUX;1
2119;1;Dark;3;57;1;5;3;3;3;211903_81.jpg;3;VRAI;3
2011;1;Light;3;53;1;5;3;3;4;201103_81.jpg;1;FAUX;1
2234;1;Dark;4;68;2;3;1;3;3;223403_81.jpg;6;VRAI;5
2050;1;Dark;1;34;4;5;2;6;1;205003_81.jpg;2;VRAI;2
2054;1;Light;1;36;1;6;3;2;5;205403_81.jpg;4;VRAI;3
2055;1;Medium;4;61;1;5;3;2;5;205503_81.jpg;3;FAUX;3
2260;1;Dark;4;63;2;4;5;3;2;226003_81.jpg;6;VRAI;6
2261;1;Medium;3;53;2;2;3;4;1;226103_81.jpg;6;FAUX;5
1055;1;Medium;4;60;1;5;3;3;2;105503_81.jpg;3;FAUX;2
1054;1;Dark;1;25;1;6;3;3;1;105403_81.jpg;1;VRAI;2
2262;1;Dark;1;31;2;4;5;5;3;226203_81.jpg;6;VRAI;6
2056;1;Dark;3;51;1;4;3;3;2;205603_81.jpg;3;FAUX;3
2100;1;Medium;2;44;1;5;2;3;2;210003_81.jpg;2;FAUX;1
2265;1;Dark;4;69;2;2;2;4;2;226503_81.jpg;5;FAUX;4
4138;1;Dark;2;49;4;7;4;3;3;413803_81.jpg;4;FAUX;3
4019;1;Dark;2;45;3;6;3;3;1;401903_81.jpg;1;VRAI;1
4109;1;Dark;3;58;3;5;3;3;2;410903_81.jpg;3;FAUX;3
2264;1;Dark;4;66;2;3;3;3;2;226403_81.jpg;6;VRAI;5
2013;1;Light;3;52;1;2;3;4;5;201303_81.jpg;5;VRAI;4
2014;1;Dark;1;25;1;5;4;6;1;201403_81.jpg;2;FAUX;1
2263;1;Medium;1;29;2;7;3;3;1;226303_81.jpg;5;FAUX;4
4219;1;Dark;2;42;2;3;3;6;1;421903_81.jpg;5;FAUX;4
4218;1;Dark;4;69;2;2;4;3;2;421803_81.jpg;5;FAUX;4
4110;1;Medium;3;55;4;5;3;3;2;411003_81.jpg;3;VRAI;3
1103;1;Dark;4;62;1;5;2;3;3;110303_81.jpg;4;VRAI;4
1051;1;Dark;3;53;1;7;3;3;2;105103_81.jpg;2;FAUX;2
1111;1;Dark;2;48;1;5;2;3;3;111103_81.jpg;3;FAUX;2
2071;1;Dark;2;42;1;4;2;3;1;207103_81.jpg;3;FAUX;1
2266;1;Dark;2;42;2;3;4;4;2;226603_81.jpg;6;VRAI;5
1123;1;Dark;3;52;1;6;4;3;2;112303_81.jpg;3;FAUX;4
1010;1;Dark;3;50;1;6;3;3;3;101003_81.jpg;2;FAUX;2
2171;1;Dark;1;39;4;2;3;3;2;217103_81.jpg;2;VRAI;1
1073;1;Dark;4;68;1;5;3;3;4;107303_81.jpg;3;FAUX;3
1128;1;Medium;3;56;1;5;3;4;5;112803_81.jpg;3;FAUX;4
4020;1;Medium;3;56;1;7;3;3;2;402003_81.jpg;2;VRAI;1
1092;1;Dark;2;43;1;6;4;6;2;109203_81.jpg;4;VRAI;2
2194;1;Dark;2;44;4;3;2;3;2;219403_81.jpg;5;VRAI;4
4021;1;Light;1;25;1;6;4;4;1;402103_81.jpg;1;VRAI;1
1088;1;Medium;2;46;1;2;4;3;3;108803_81.jpg;2;FAUX;2
2016;1;Dark;1;31;1;7;1;2;1;201603_81.jpg;4;FAUX;3
1127;1;Dark;2;46;1;5;2;2;3;112703_81.jpg;4;VRAI;4
2019;1;Medium;2;48;1;6;2;3;1;201903_81.jpg;2;VRAI;1
2015;1;Medium;2;47;1;4;3;2;5;201503_81.jpg;3;VRAI;1
4060;1;Dark;2;47;4;7;3;6;1;406003_81.jpg;3;FAUX;1
2023;1;Dark;2;42;1;6;2;2;1;202303_81.jpg;2;VRAI;1
4022;1;Medium;1;36;1;6;3;3;2;402203_81.jpg;1;VRAI;1
4061;1;Medium;3;50;3;3;3;3;2;406103_81.jpg;3;VRAI;1
4062;1;Dark;1;32;4;6;3;3;1;406203_81.jpg;3;FAUX;1
4115;1;Dark;4;60;4;6;2;4;2;411503_81.jpg;4;FAUX;3
1064;1;Medium;3;58;1;4;4;3;2;106403_81.jpg;1;FAUX;2
1098;1;Light;2;48;1;2;2;3;1;109803_81.jpg;3;VRAI;3
1070;1;Medium;4;62;1;5;4;3;2;107003_81.jpg;3;FAUX;4
2024;1;Medium;4;66;1;2;3;3;1;202403_81.jpg;3;VRAI;3
1104;1;Dark;4;60;1;5;3;3;2;110403_81.jpg;4;FAUX;4
1005;1;Light;2;49;1;3;3;3;3;100503_81.jpg;1;VRAI;2
2267;1;Dark;4;60;2;3;3;3;2;226703_81.jpg;6;VRAI;6
1062;1;Light;4;67;1;4;2;3;2;106203_81.jpg;2;VRAI;2
1096;1;Medium;4;64;1;7;3;3;3;109603_81.jpg;4;FAUX;4
2025;1;Light;4;60;1;4;3;3;2;202503_81.jpg;1;VRAI;1
1089;1;Dark;3;54;1;4;2;6;3;108903_81.jpg;3;FAUX;4
2026;1;Light;1;29;1;5;2;3;2;202603_81.jpg;2;VRAI;2
1097;1;Medium;2;42;1;6;2;6;2;109703_81.jpg;4;FAUX;2
2214;1;Dark;2;44;2;3;2;3;1;221403_81.jpg;6;VRAI;6
1115;1;Medium;1;29;1;6;4;3;2;111503_81.jpg;2;FAUX;2
2213;1;Dark;2;46;2;4;4;3;1;221303_81.jpg;6;VRAI;6
2058;1;Medium;2;46;1;3;4;4;2;205803_81.jpg;2;FAUX;3
1050;1;Medium;2;49;1;6;2;6;3;105003_81.jpg;2;FAUX;2
2059;1;Dark;1;39;1;5;2;4;2;205903_81.jpg;3;VRAI;1
2212;1;Light;2;41;2;7;3;3;1;221203_81.jpg;5;VRAI;5
2028;1;Medium;3;53;1;4;4;4;2;202803_81.jpg;3;VRAI;1
2135;1;Light;4;62;1;4;1;6;2;213503_81.jpg;2;FAUX;1
1087;1;Dark;3;53;3;5;2;3;3;108703_81.jpg;3;VRAI;4
1125;1;Dark;3;53;1;4;4;3;3;112503_81.jpg;3;VRAI;4
1094;1;Dark;3;51;1;7;5;3;3;109403_81.jpg;4;FAUX;4
1067;1;Light;2;41;1;4;5;3;5;106703_81.jpg;2;VRAI;2
1014;1;Medium;1;37;1;7;2;3;2;101403_81.jpg;2;FAUX;2
2138;1;Dark;1;35;2;4;5;4;2;213803_81.jpg;4;FAUX;4
1132;1;Dark;2;45;1;5;2;3;1;113203_81.jpg;4;VRAI;4
2029;1;Dark;1;33;1;7;4;6;1;202903_81.jpg;1;FAUX;2
1057;1;Medium;3;50;1;5;2;3;2;105703_81.jpg;2;FAUX;2
2196;1;Dark;1;31;3;4;3;2;1;219603_81.jpg;4;FAUX;4
1013;1;Medium;3;56;1;6;4;4;2;101303_81.jpg;3;FAUX;3
2030;1;Medium;1;31;1;7;3;3;1;203003_81.jpg;1;VRAI;1
2211;1;Dark;4;60;2;3;3;3;3;221103_81.jpg;6;FAUX;6
1003;1;Light;3;50;1;5;3;3;2;100303_81.jpg;2;FAUX;2
1084;1;Dark;3;50;1;5;4;3;3;108403_81.jpg;3;VRAI;4
1082;1;Dark;1;25;1;6;3;3;1;108203_81.jpg;2;VRAI;2
2031;1;Light;2;40;1;6;2;3;1;203103_81.jpg;3;FAUX;3
4023;1;Medium;1;36;1;7;3;3;1;402303_81.jpg;2;FAUX;1
2197;1;Dark;2;47;2;5;4;3;1;219703_81.jpg;5;VRAI;5
2032;1;Medium;2;43;1;4;4;3;2;203203_81.jpg;3;FAUX;3
4116;1;Dark;1;25;5;7;4;6;1;411603_81.jpg;1;VRAI;1
1059;1;Dark;2;48;1;5;3;3;3;105903_81.jpg;1;VRAI;3
1053;1;Dark;1;37;1;6;3;4;2;105303_81.jpg;2;FAUX;2
2198;1;Dark;1;32;2;3;5;3;1;219803_81.jpg;6;VRAI;5
2243;1;Dark;3;51;2;3;3;4;3;224303_81.jpg;6;VRAI;6
2210;1;Dark;1;29;2;4;5;5;1;221003_81.jpg;6;VRAI;6
4070;1;Dark;1;29;4;4;3;6;1;407003_81.jpg;3;FAUX;1
4069;1;Light;2;48;4;7;3;6;1;406903_81.jpg;3;VRAI;1
4141;1;Dark;1;29;4;7;3;3;1;414103_81.jpg;3;FAUX;3
4024;1;Dark;1;25;3;6;3;3;1;402403_81.jpg;2;FAUX;1
4025;1;Light;1;29;1;6;3;4;1;402503_81.jpg;1;FAUX;1
4026;1;Light;2;47;1;4;3;6;1;402603_81.jpg;2;FAUX;1
4073;1;Dark;1;30;4;5;3;3;1;407303_81.jpg;1;FAUX;1
